id,Season,Decade
820,1997,1996/2005
821,1997,1996/2005
822,1997,1996/2005
823,1997,1996/2005
824,1997,1996/2005
825,1997,1996/2005
826,1997,1996/2005
827,1997,1996/2005
828,1997,1996/2005
829,1997,1996/2005
830,1997,1996/2005
831,1997,1996/2005
832,1997,1996/2005
833,1997,1996/2005
834,1997,1996/2005
835,1997,1996/2005
836,1997,1996/2005
837,1997,1996/2005
838,1997,1996/2005
839,1997,1996/2005
840,1997,1996/2005
841,1997,1996/2005
842,1997,1996/2005
843,1997,1996/2005
844,1997,1996/2005
845,1997,1996/2005
846,1997,1996/2005
847,1997,1996/2005
848,1997,1996/2005
849,1997,1996/2005
850,1997,1996/2005
851,1997,1996/2005
852,1997,1996/2005
853,1997,1996/2005
854,1997,1996/2005
855,1997,1996/2005
856,1997,1996/2005
857,1997,1996/2005
858,1997,1996/2005
859,1997,1996/2005
860,1997,1996/2005
861,1997,1996/2005
862,1997,1996/2005
863,1997,1996/2005
864,1997,1996/2005
865,1997,1996/2005
866,1997,1996/2005
867,1997,1996/2005
868,1997,1996/2005
869,1997,1996/2005
870,1997,1996/2005
871,1997,1996/2005
872,1997,1996/2005
873,1997,1996/2005
874,1997,1996/2005
875,1997,1996/2005
876,1997,1996/2005
877,1997,1996/2005
878,1997,1996/2005
879,1997,1996/2005
880,1997,1996/2005
881,1998,1996/2005
882,1998,1996/2005
883,1998,1996/2005
884,1998,1996/2005
885,1998,1996/2005
886,1998,1996/2005
887,1998,1996/2005
888,1998,1996/2005
889,1998,1996/2005
890,1998,1996/2005
891,1998,1996/2005
892,1998,1996/2005
893,1998,1996/2005
894,1998,1996/2005
895,1998,1996/2005
896,1998,1996/2005
897,1998,1996/2005
898,1998,1996/2005
899,1998,1996/2005
900,1998,1996/2005
901,1998,1996/2005
902,1998,1996/2005
903,1998,1996/2005
904,1998,1996/2005
905,1998,1996/2005
906,1998,1996/2005
907,1998,1996/2005
908,1998,1996/2005
909,1998,1996/2005
910,1998,1996/2005
911,1998,1996/2005
912,1998,1996/2005
913,1998,1996/2005
914,1998,1996/2005
915,1998,1996/2005
916,1998,1996/2005
917,1998,1996/2005
918,1998,1996/2005
919,1998,1996/2005
920,1998,1996/2005
921,1998,1996/2005
922,1998,1996/2005
923,1998,1996/2005
924,1998,1996/2005
925,1998,1996/2005
926,1998,1996/2005
927,1998,1996/2005
928,1998,1996/2005
929,1998,1996/2005
930,1998,1996/2005
931,1998,1996/2005
932,1998,1996/2005
933,1998,1996/2005
934,1998,1996/2005
935,1998,1996/2005
936,1998,1996/2005
937,1998,1996/2005
938,1998,1996/2005
939,1998,1996/2005
940,1998,1996/2005
941,1998,1996/2005
942,1998,1996/2005
943,1998,1996/2005
944,1998,1996/2005
